REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New Mexico,2010,51,232,22,6800
States,New York,2010,51,388,103,10082
States,North Carolina,2010,51,107,68,11326
States,North Dakota,2010,51,4,11,1451
States,Ohio,2010,51,72,47,12037
States,Oklahoma,2010,51,85,17,2076
States,Oregon,2010,51,43,20,2087
States,Pennsylvania,2010,51,214,55,10680
States,Rhode Island,2010,51,38,21,4446
States,South Carolina,2010,51,31,17,3878
States,South Dakota,2010,51,69,19,4544
States,Tennessee,2010,51,145,49,6142
States,Texas,2010,51,1418,81,36611
States,Utah,2010,51,43,15,3883
States,Vermont,2010,51,45,13,2963
States,Virginia,2010,51,1260,89,57381
States,Washington,2010,51,6,17,1550
States,West Virginia,2010,51,87,32,7272
States,Wisconsin,2010,51,17,46,2451
States,Wyoming,2010,51,62,29,3798
States,Alabama,2010,52,1274,38,10927
States,Alaska,2010,52,21,8,1857
States,Arizona,2010,52,344,69,22684
States,Arkansas,2010,52,61,16,2367
States,California,2010,52,916,125,19533
States,Colorado,2010,52,160,10,15093
States,Connecticut,2010,52,13,19,1523
States,Delaware,2010,52,19,14,3733
States,Georgia,2010,52,2064,60,34013
States,Hawaii,2010,52,32,17,957
States,Idaho,2010,52,90,12,3464
States,Illinois,2010,52,1251,76,35224
States,Indiana,2010,52,136,41,7849
States,Iowa,2010,52,28,10,1923
States,Kansas,2010,52,81,38,5936
States,Kentucky,2010,52,134,14,14044
States,Louisiana,2010,52,1307,46,23212
States,Maine,2010,52,25,31,3877
States,Maryland,2010,52,199,16,5401
States,Massachusetts,2010,52,258,50,17670
States,Michigan,2010,52,83,48,9226
States,Minnesota,2010,52,34,15,3076
States,Mississippi,2010,52,1570,45,17379
States,Missouri,2010,52,181,32,6753
States,Montana,2010,52,3,5,1277
States,Nebraska,2010,52,85,14,2220
States,Nevada,2010,52,624,38,16055
States,New Hampshire,2010,52,8,30,3007
States,New Jersey,2010,52,199,25,4050
States,New Mexico,2010,52,259,23,6684
States,New York,2010,52,349,100,8311
States,North Carolina,2010,52,158,73,9938
States,North Dakota,2010,52,0,10,958
States,Ohio,2010,52,80,47,11091
States,Oklahoma,2010,52,142,17,2892
States,Oregon,2010,52,45,21,1959
States,Pennsylvania,2010,52,243,56,10188
States,Rhode Island,2010,52,44,21,3414
States,South Carolina,2010,52,57,19,4854
States,South Dakota,2010,52,67,19,4395
States,Tennessee,2010,52,188,50,6853
States,Texas,2010,52,1293,81,37950
States,Utah,2010,52,42,13,3853
States,Vermont,2010,52,63,15,3479
States,Virginia,2010,52,1466,86,61175
States,Washington,2010,52,30,15,1220
States,West Virginia,2010,52,103,31,7285
States,Wisconsin,2010,52,29,46,2089
States,Wyoming,2010,52,60,30,4099
States,Alabama,2011,1,1191,37,12231
States,Alaska,2011,1,12,8,2025
States,Arizona,2011,1,411,70,25741
States,Arkansas,2011,1,122,15,3623
States,California,2011,1,1190,129,33407
States,Colorado,2011,1,199,12,21642
States,Connecticut,2011,1,25,19,2708
States,Delaware,2011,1,30,12,3827
States,Georgia,2011,1,1723,63,35731
States,Hawaii,2011,1,48,18,1965
States,Idaho,2011,1,95,11,4659
States,Illinois,2011,1,1172,78,39188
States,Indiana,2011,1,168,41,9590
States,Iowa,2011,1,13,9,2245
States,Kansas,2011,1,101,43,9547
States,Kentucky,2011,1,135,15,10622
States,Louisiana,2011,1,922,40,21010
States,Maine,2011,1,31,30,6088
States,Maryland,2011,1,219,18,9645
States,Massachusetts,2011,1,328,51,27817
States,Michigan,2011,1,96,49,13973
States,Minnesota,2011,1,61,15,4450
States,Mississippi,2011,1,1139,47,16853
States,Missouri,2011,1,173,31,8134
States,Montana,2011,1,0,6,2164
States,Nebraska,2011,1,102,16,3393
States,Nevada,2011,1,588,39,19076
States,New Hampshire,2011,1,17,30,5171
States,New Jersey,2011,1,224,25,5667
States,New Mexico,2011,1,241,24,8157
States,New York,2011,1,352,101,12235
States,North Carolina,2011,1,289,73,18931
States,North Dakota,2011,1,4,9,1510
States,Ohio,2011,1,153,48,16724
States,Oklahoma,2011,1,100,17,3302
States,Oregon,2011,1,48,19,3926
States,Pennsylvania,2011,1,257,56,12189
States,Rhode Island,2011,1,32,21,5438
States,South Carolina,2011,1,94,20,6440
States,South Dakota,2011,1,78,19,5547
States,Tennessee,2011,1,178,52,10471
States,Texas,2011,1,1524,89,47440
States,Utah,2011,1,37,14,7116
States,Vermont,2011,1,75,15,4233
States,Virginia,2011,1,1596,87,64119
States,Washington,2011,1,35,15,2299
States,West Virginia,2011,1,135,36,10842
States,Wisconsin,2011,1,27,45,3367
States,Wyoming,2011,1,39,27,4837
States,Alabama,2011,2,1195,38,10005
States,Alaska,2011,2,28,8,1889
States,Arizona,2011,2,447,67,26118
States,Arkansas,2011,2,166,14,3425
States,California,2011,2,1354,132,35695
States,Colorado,2011,2,202,12,19919
States,Connecticut,2011,2,34,22,3249
States,Delaware,2011,2,104,14,4110
States,Georgia,2011,2,1133,60,27557
States,Hawaii,2011,2,41,19,2031
